Timestamp,Koľko rokov programujete profesionálne (akýkoľvek jazyk),Ku ktorej z uvedených rol mate najbližšie?,"Aký je primárny jazyk, ktorý používate najviac?",Aký ďalší jazyk sa v blízkej dobe chcete alebo chceli by ste sa naučiť?,Aký je váš vzťah ku Go,"Ako dlho použivate Go? (v práci, hobby projekt, učenie sa)",V Go programujete,"Odporučili by ste Go priateľom, kolegom?",Cítite sa v Go produktívny?,Bonusovka: Patria podľa vás generika do Go?
4/22/2021 14:33:58,3 - 6 rokov,Vývoj backend systémov,.NET,Žiaden,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/22/2021 14:35:00,Menej ako 3 roky,Vývoj backend systémov,Java/Kotlin/Scala,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,,,Ano :-)
4/22/2021 14:35:40,10 rokov a viac,Vývoj backend systémov,Java/Kotlin/Scala,Go,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,3,Nie :-)
4/22/2021 14:36:17,Som študent,Fullstack programátor,Java/Kotlin/Scala,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,1,1,Ano :-)
4/22/2021 14:36:33,Menej ako 3 roky,Vývoj mobilných aplikácii,Java/Kotlin/Scala,Kotlin,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,4,,Ano :-)
4/22/2021 14:39:05,3 - 6 rokov,Data engineering,Python,Kotlin,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,Nie :-)
4/22/2021 14:41:19,..3+ ale som ešte aj študent,Fullstack programátor,JavaScript/TypeScript,Go,Go sa učím alebo sa chcem naučiť,Menej ako 3 mesiace,WebService aplikácie,5,3,Nie :-)
4/22/2021 14:43:03,3 - 6 rokov,Frontend vývoj,JavaScript/TypeScript,C#,,Ešte som v Go nerobil,V Go neprogramujem,,,
4/22/2021 14:46:21,Som študent,Testing,JavaScript/TypeScript,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,,,
4/22/2021 14:47:08,Som študent,Vývoj backend systémov,Java/Kotlin/Scala,Go,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,Ano :-)
4/22/2021 14:50:53,Som študent,Vývoj backend systémov,Java/Kotlin/Scala,Python,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,,,Ano :-)
4/22/2021 14:52:41,3 - 6 rokov,Fullstack programátor,Java/Kotlin/Scala,Python,Go ma nezaujíma,Ešte som v Go nerobil,,,,
4/22/2021 14:54:12,Som študent,,JavaScript/TypeScript,C±±,V Go neprogramujem ale vyzera zaujímavo,Ešte som v Go nerobil,V Go neprogramujem,3,3,Nie :-)
4/22/2021 15:01:04,3 - 6 rokov,Vývoj backend systémov,Java/Kotlin/Scala,TypeScript,Go ma nezaujíma,Ešte som v Go nerobil,V Go neprogramujem,3,3,
